"ProductCode","SelectionGroup","PartNumber","ExclusionRule","Cost"
FPD350_1,CH/FPD/END/CONN/RAT,"A7","(CH/FPD/LINE/SIZE=032 OR CH/FPD/LINE/SIZE=040) AND (CH/FPD/END/CONN/TYPE=R4 OR CH/FPD/END/CONN/TYPE=F4 OR CH/FPD/END/CONN/TYPE=R6 OR CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/ELEM/MAT=S6)","566"
FPD350_1,CH/FPD/END/CONN/RAT,"A7","(CH/FPD/LINE/SIZE=050) AND (CH/FPD/END/CONN/TYPE=R5 OR CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/ELEM/MAT=S6)","738"
FPD350_1,CH/FPD/END/CONN/RAT,"D1","(CH/FPD/LINE/SIZE=015) AND (CH/FPD/END/CONN/TYPE=R1 OR CH/FPD/END/CONN/TYPE=F1) AND (CH/FPD/ELEM/MAT=S6)","0"
FPD350_1,CH/FPD/END/CONN/RAT,"D1","(CH/FPD/LINE/SIZE=020 OR CH/FPD/LINE/SIZE=025) AND (CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/ELEM/MAT=S6)","0"
FPD350_1,CH/FPD/END/CONN/RAT,"D1","(CH/FPD/LINE/SIZE=032 OR CH/FPD/LINE/SIZE=040) AND (CH/FPD/END/CONN/TYPE=R4 OR CH/FPD/END/CONN/TYPE=F4 OR CH/FPD/END/CONN/TYPE=R6 OR CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/ELEM/MAT=S6)","0"
FPD350_1,CH/FPD/END/CONN/RAT,"D1","(CH/FPD/LINE/SIZE=050) AND (CH/FPD/END/CONN/TYPE=R5 OR CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/ELEM/MAT=S6)","0"
FPD350_1,CH/FPD/END/CONN/RAT,"D2","(CH/FPD/LINE/SIZE=015) AND (CH/FPD/END/CONN/TYPE=R1 OR CH/FPD/END/CONN/TYPE=F1) AND (CH/FPD/ELEM/MAT=S6)","39.9"
FPD350_1,CH/FPD/END/CONN/RAT,"D2","(CH/FPD/LINE/SIZE=020 OR CH/FPD/LINE/SIZE=025) AND (CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/ELEM/MAT=S6)","46.2"
FPD350_1,CH/FPD/END/CONN/RAT,"D2","(CH/FPD/LINE/SIZE=032 OR CH/FPD/LINE/SIZE=040) AND (CH/FPD/END/CONN/TYPE=R4 OR CH/FPD/END/CONN/TYPE=F4 OR CH/FPD/END/CONN/TYPE=R6 OR CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/ELEM/MAT=S6)","73.5"
FPD350_1,CH/FPD/END/CONN/RAT,"D2","(CH/FPD/LINE/SIZE=050) AND (CH/FPD/END/CONN/TYPE=R5 OR CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/ELEM/MAT=S6)","113"
FPD350_1,CH/FPD/END/CONN/RAT,"D3","(CH/FPD/LINE/SIZE=015) AND (CH/FPD/END/CONN/TYPE=R1 OR CH/FPD/END/CONN/TYPE=F1) AND (CH/FPD/ELEM/MAT=S6)","67.2"
FPD350_1,CH/FPD/END/CONN/RAT,"D3","(CH/FPD/LINE/SIZE=020 OR CH/FPD/LINE/SIZE=025) AND (CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/ELEM/MAT=S6)","79.9"
FPD350_1,CH/FPD/END/CONN/RAT,"D3","(CH/FPD/LINE/SIZE=032 OR CH/FPD/LINE/SIZE=040) AND (CH/FPD/END/CONN/TYPE=R4 OR CH/FPD/END/CONN/TYPE=F4 OR CH/FPD/END/CONN/TYPE=R6 OR CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/ELEM/MAT=S6)","300"
FPD350_1,CH/FPD/END/CONN/RAT,"D3","(CH/FPD/LINE/SIZE=050) AND (CH/FPD/END/CONN/TYPE=R5 OR CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/ELEM/MAT=S6)","334"
FPD350_1,CH/FPD/END/CONN/RAT,"D4","(CH/FPD/LINE/SIZE=015) AND (CH/FPD/END/CONN/TYPE=R1 OR CH/FPD/END/CONN/TYPE=F1) AND (CH/FPD/ELEM/MAT=S6)","67.2"
FPD350_1,CH/FPD/END/CONN/RAT,"D4","(CH/FPD/LINE/SIZE=020 OR CH/FPD/LINE/SIZE=025) AND (CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/ELEM/MAT=S6)","79.9"
FPD350_1,CH/FPD/END/CONN/RAT,"D4","(CH/FPD/LINE/SIZE=032 OR CH/FPD/LINE/SIZE=040) AND (CH/FPD/END/CONN/TYPE=R4 OR CH/FPD/END/CONN/TYPE=F4 OR CH/FPD/END/CONN/TYPE=R6 OR CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/ELEM/MAT=S6)","300"
FPD350_1,CH/FPD/END/CONN/RAT,"D4","(CH/FPD/LINE/SIZE=050) AND (CH/FPD/END/CONN/TYPE=R5 OR CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/ELEM/MAT=S6)","334"
FPD350_1,CH/FPD/END/CONN/RAT,"D5","(CH/FPD/LINE/SIZE=015) AND (CH/FPD/END/CONN/TYPE=R1 OR CH/FPD/END/CONN/TYPE=F1) AND (CH/FPD/ELEM/MAT=S6)","287"
FPD350_1,CH/FPD/END/CONN/RAT,"D5","(CH/FPD/LINE/SIZE=020 OR CH/FPD/LINE/SIZE=025) AND (CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/ELEM/MAT=S6)","347"
FPD350_1,CH/FPD/END/CONN/RAT,"D5","(CH/FPD/LINE/SIZE=032 OR CH/FPD/LINE/SIZE=040) AND (CH/FPD/END/CONN/TYPE=R4 OR CH/FPD/END/CONN/TYPE=F4 OR CH/FPD/END/CONN/TYPE=R6 OR CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/ELEM/MAT=S6)","566"
FPD350_1,CH/FPD/END/CONN/RAT,"D5","(CH/FPD/LINE/SIZE=050) AND (CH/FPD/END/CONN/TYPE=R5 OR CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/ELEM/MAT=S6)","738"
FPD350_1,CH/FPD/END/CONN/RAT,"D6","(CH/FPD/LINE/SIZE=015) AND (CH/FPD/END/CONN/TYPE=R1 OR CH/FPD/END/CONN/TYPE=F1) AND (CH/FPD/ELEM/MAT=S6)","287"
FPD350_1,CH/FPD/END/CONN/RAT,"D6","(CH/FPD/LINE/SIZE=020 OR CH/FPD/LINE/SIZE=025) AND (CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/ELEM/MAT=S6)","347"
